Acls,Section,Permission
536f7e9a-c15f-4952-a289-e870f3a09930[CC_Delimiter]07ac5ec8-c453-494a-b7ed-469e3090b2b5,Generic,See List Costs
02bcaa5a-7953-4932-88d5-0d54fdf01c51[CC_Delimiter]da61a4df-d4be-4a57-9e6a-12b96cab74b4,Savings,Cost Savings
5b840bb5-b887-49e6-a8aa-8b7a214946fe[CC_Delimiter]17f6bc30-035a-413c-b553-9351b369f7be,BestPractices,Best Practices
b6212510-f809-4079-a097-7f887ed62de0[CC_Delimiter]ae38b245-989b-41a7-a041-80e07c0bd31c,Cost,Advanced Grouping (w/ tags)
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]37baf77d-328d-4ae9-b47d-831f54701ea9,Inventory,Inventory Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]429fdb68-fd3a-4008-8acb-5cd5b900d4f2,Inventory,Map Overlay
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ef5244f6-8f33-4422-98ef-9cfbd0bfe11c,Inventory,Tagged Resources
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b19522c8-3027-47b9-b3f7-817f23de7e05,Inventory,Untagged Resources
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7d8dd254-19ca-495b-9fe1-28ba9a11f558,Inventory,EC2 History by Time
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]25c4e22f-005e-437c-a406-60ecedaff0e2,Inventory,EC2 History by Instance
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7b212320-b378-4d63-9dd2-1d00d0b4016d,Inventory,EC2 Instances Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6fffe062-1326-4876-8e9d-ff69b94d1785,Inventory,EC2 Other Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f212c9f8-c12a-4c22-9671-976fb7d727e5,Inventory,S3 Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d9600bef-deb4-4b78-943a-0012e3fb739a,Inventory,EC2 Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c146c703-a851-43b0-94ca-0dd4ad0c9157,Inventory,List of EC2 Instances
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]779d2185-91a4-4c58-b744-9e5cc9b7ae77,Inventory,EBS Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]71808d22-5e85-45a7-8523-1ecaf4d81709,Inventory,List of EBS Volumes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]736cd596-fe16-47a0-bdb4-01125a0a0b47,Inventory,List of EBS Snapshots
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a0f2ab45-6c8b-4f27-ac3d-8c79451922aa,Inventory,AMI Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f1088134-94eb-4b86-9490-4897fdda93d2,Inventory,List of EC2 AMIs
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]41f71762-f3c9-46f8-b969-ef03310c6cb3,Inventory,Load Balancer Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]04906c78-bb7c-47ff-ad51-a7cdf96d9e50,Inventory,List of Load Balancers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]110858da-0bfe-417e-a9ed-85aa1431040e,Inventory,Auto Scaling Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1c19dd9d-e1f0-4f96-9737-a69b0867119b,Inventory,Auto Scaling Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]c809cd75-7c3d-47af-b52f-f41f43b6c4ed,Inventory,Auto Scaling Launch Configurations
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e16ecb09-de4b-4223-bc29-b9231ebd1c07,Inventory,Elastic IP Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7db225ba-7526-4ddc-b4e0-6126cf3510b3,Inventory,List of Elastic IPs
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a0e39196-8c44-4453-a055-1fe7fe7c63a0,Inventory,S3 Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]9b51ff2a-26d2-415d-9d53-2c10e81f8a38,Inventory,List of S3 Buckets
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6dbd61c3-db2b-4ce1-b9e4-065f93490254,Inventory,RDS Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a253fb3f-0804-420b-b273-af88c1d9b44e,Inventory,List of DB Instances
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e49f7c57-4709-4ce8-8421-2c95401bbf88,Inventory,RDS Backup Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]395f550b-2903-45fc-95cb-0f379eef19fc,Inventory,List of RDS Backups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7decceec-2082-4c6e-ab1d-31e63ca2c181,Inventory,RDS Parameter Group Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f4f23b46-42ea-4868-86ff-2b8d5cd95946,Inventory,List of RDS Parameter Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7ab8709e-33bd-401a-b09b-01dff73c8bf2,Inventory,RDS Snapshot Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f583d020-eaa5-41d8-97b8-91994c507071,Inventory,List of RDS Snapshots
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]927c79f9-69cf-4113-85d7-511546510542,Inventory,Certificate Manager (ACM) Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]50e5d8b8-ba35-413f-bca0-299586aa08db,Inventory,List of ACM Certificates
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]16cbe462-40a9-46c6-8cb8-4159d1ad60dc,Inventory,CloudFormation Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]be40d27c-1f03-4ffd-b479-f7929d6d2aba,Inventory,List of CloudFormation Stacks
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]12e6850d-3e81-46b5-aa92-1fd2321545b1,Inventory,CloudFront Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b291d4a2-3caa-403e-8016-2ef6c5631fa1,Inventory,List of CloudFront Distributions
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4353d28d-0b2b-46e0-8aaa-6938f2f7ec0f,Inventory,CloudSearch Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]69640b4d-74b8-4198-b132-70c4c8939aa2,Inventory,List of CloudSearch Domains
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]dd20e6ab-2c62-4d8e-accf-38f56992c5e5,Inventory,Data Pipeline Summary
