Acls,Section,Permission
536f7e9a-c15f-4952-a289-e870f3a09930[CC_Delimiter]07ac5ec8-c453-494a-b7ed-469e3090b2b5,Generic,See List Costs
02bcaa5a-7953-4932-88d5-0d54fdf01c51[CC_Delimiter]cedd1593-75d5-48d1-a48c-e17cbaa80fec,Savings,Cost Savings
5b840bb5-b887-49e6-a8aa-8b7a214946fe[CC_Delimiter]81dde191-03cf-46f2-b07f-84314342b0f0,BestPractices,Best Practices
b6212510-f809-4079-a097-7f887ed62de0[CC_Delimiter]b029c3b2-f536-4440-9c75-5279824b48ea,Cost,Advanced Grouping (w/ tags)
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]bde7a10b-6e76-4ce5-918c-5c4821b4f3bd,Inventory,Inventory Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4adf637d-667a-4530-a6a4-e8b4e5fcd340,Inventory,Map Overlay
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]08d18f15-1e86-40f7-bc8f-37f8bc27f1b7,Inventory,Tagged Resources
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b6fdd6d2-9d58-4ee4-8e08-807921c61b33,Inventory,Untagged Resources
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]d2596083-4b88-4193-8465-17c5a742c0b7,Inventory,Custom Report Builder
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]47725042-a125-4659-a960-33e88e04ddc0,Inventory,Custom Reports
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7e5b7b51-d0eb-41d3-af9e-22d8c3035af4,Inventory,EC2 History by Time
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f9f2bf21-d349-4f20-8b25-59a579e77e30,Inventory,EC2 History by Instance
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]75bbbcdd-b1c3-476e-9970-6396417a697b,Inventory,EC2 Instances Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]4be91d19-5671-48b0-9d19-399c30fe5a4b,Inventory,EC2 Other Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f1a42f26-fb2e-445a-afcc-f504c7f6b9eb,Inventory,S3 Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]e888988e-2b78-4bb0-adb2-153f0dc98b12,Inventory,RDS Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]271b8143-1b51-46fe-88d3-1309bf6d0ede,Inventory,Glacier Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]71f8592b-d20f-45a2-96d9-a880e62904c9,Inventory,Support Cases Trending
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]a3b26d8c-fe4e-4999-9fe2-7e6dcb98f4e3,Inventory,EC2 Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]ac674385-338f-457c-9107-08ad2b97da93,Inventory,List of EC2 Instances
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f0bb65ec-7150-4665-b0ad-0d40a8e37330,Inventory,EBS Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]231659c9-41b3-40dd-b5b5-51aa4426d54b,Inventory,List of EBS Volumes
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]6126384d-29e1-4f0b-a09a-2d0f838bbd53,Inventory,List of EBS Snapshots
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]5c1a861c-ae31-4de3-8f3d-2441582671d1,Inventory,AMI Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]2ca6ca00-75bf-4866-9a66-39a5b643aadc,Inventory,List of EC2 AMIs
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]7e75112d-6985-405b-8f62-255d83fde578,Inventory,Load Balancer Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]539dde6b-59af-4fd1-96a0-927879077f57,Inventory,List of Load Balancers
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]f08e89ba-54a3-433d-8d40-19fa715564f1,Inventory,Auto Scaling Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]76f19130-ceea-41f9-bbff-d243a18eae29,Inventory,Auto Scaling Groups
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]553b38ca-3c2b-4d09-8b73-759d124a007b,Inventory,Auto Scaling Launch Configurations
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]b32c1b01-f65a-494c-87c1-0ff3cb2c7bed,Inventory,Elastic IP Summary
dd82ecd7-c590-490f-9b3a-f22990a1b500[CC_Delimiter]1c4835b3-a043-4c8e-90ce-e6b20b0f216f,Inventory,List of Elastic IPs
